id	bibtex_string
5	"@article{ref5, 
 author  =  {V THURZ� and Eugen} , 
 year  =  {1926} , 
 title  =  {Die bikolorierte Mastixreaktion und über die allgemeine diagnostische Bedeutung der Kolloidreaktionen} , 
 booktitle  =  {Deutsche Zeitschrift für Nervenheilkunde} , 
 volume  =  {1926. Vol. 91, no. 4-6} , 
 url  =  {http://dx.doi.org/10.1007/bf01675520} 
 }"
5	"@article{ref5, 
 author  =  {Thurz�} , 
 title  =  {Eugen. “Die Bikolorierte Mastixreaktion Und Über Die Allgemeine Diagnostische Bedeutung Der Kolloidreaktionen.�} , 
 booktitle  =  {Deutsche Zeitschrift Für Nervenheilkunde} , 
 volume  =  {91} , 
 issue  =  {4–6} , 
 note  =  {May 1926)} , 
 pages  =  {254 -- 295} , 
 url  =  {doi:10.1007/bf01675520} 
 }"
5	"@article{ref5, 
 author  =  {v} , 
 title  =  {Thurzó, “Die bikolorierte Mastixreaktion und über die allgemeine diagnostische Bedeutung der Kolloidreaktionen,” Deutsche} , 
 booktitle  =  {Zeitschrift für Nervenheilkunde} , 
 volume  =  {91} , 
 issue  =  {4–6} , 
 pages  =  {254 -- 295} , 
 year  =  {1926} 
 }"
6	"@article{ref6, 
 author  =  {Li P and Hu X and Song G and Chu PK and Xu Z} , 
 title  =  {Facile preparation of cationic P (St-BA-METAC) copolymer nanoparticles and the investigation of their interaction with bovine serum albumin} , 
 booktitle  =  {Journal of Applied Polymer Science. 2011;125(2):864–869. doi:10.1002/app.35676} 
 }"
6	"@article{ref6, 
 author  =  {P} , 
 year  =  {2011 2011} , 
 title  =  {Facile preparation of cationic P (St-BA-METAC) copolymer nanoparticles and the investigation of their interaction with bovine serum albumin} , 
 booktitle  =  {Journal of Applied Polymer Science} , 
 volume  =  {125} , 
 issue  =  {2} , 
 note  =  {Dec} , 
 pages  =  {864 -- 869} 
 }"
6	"@article{ref6, 
 author  =  {LI Penghui and HU Xiaoxi and SONG Gongwu and CHU, Paul K XU Zushun} , 
 year  =  {2011 December 2011} , 
 title  =  {Facile preparation of cationic P (St-BA-METAC) copolymer nanoparticles and the investigation of their interaction with bovine serum albumin} , 
 booktitle  =  {Journal of Applied Polymer Science} , 
 volume  =  {Vol. 125, no. 2} , 
 url  =  {http://dx.doi.org/10.1002/app.35676} 
 }"
7	"@article{ref7, 
 author  =  {Cieslik Huber and Josef Franz} , 
 title  =  {Schutte, ‘Valignanos Missiongrundasatze Fur Japan.’, Monumenta Nipponica} , 
 volume  =  {15 195} , 
 year  =  {1959} , 
 pages  =  {d -- 10</fpage> - <lpage>2307</fpage> - <lpage>2382841} 
 }"
7	"@article{ref7, 
 author  =  {Cieslik H and Schutte J. F} , 
 title  =  {Valignanos Missiongrundasatze Fur Japan} , 
 booktitle  =  {Monumenta Nipponica} , 
 year  =  {1959} , 
 volume  =  {15} , 
 pages  =  {195 --} 
 }"
7	"@article{ref7, 
 author  =  {Cieslik H and Schutte J. F} , 
 year  =  {1959} , 
 title  =  {Valignanos Missiongrundasatze fur Japan} , 
 booktitle  =  {Monumenta Nipponica} , 
 volume  =  {15(1/2} , 
 identifier  =  {doi:10.2307/2382841} 
 }"
8	"@article{ref8, 
 author  =  {Beeri Ronen, Zvi and Symon Mayer and Brezis Samuel A and Ben-Sasson Paul H and Baehr Seymour and Rosen Richard A and Zager} , 
 title  =  {“Rapid DNA Fragmentation from Hypoxia Along the Thick Ascending Limb of Rat Kidneys.�} , 
 booktitle  =  {Kidney International} , 
 volume  =  {47} , 
 issue  =  {6} , 
 note  =  {June 1995)} , 
 pages  =  {1806 -- 1810} , 
 url  =  {http://dx.doi.org/10.1038/ki.1995.249} 
 }"
8	"@article{ref8, 
 author  =  {BEERI Ronen, SYMON, Zvi, BREZIS, Mayer, BEN-SASSON, Samuel A. and BAEHR Paul H. and ROSEN Seymour and ZAGER Richard A.} , 
 year  =  {1995 June 1995} , 
 title  =  {Rapid DNA fragmentation from hypoxia along the thick ascending limb of rat kidneys} , 
 booktitle  =  {Kidney International} , 
 url  =  {http://dx.doi.org/10.1038/ki.1995.249} 
 }"
9	"@article{ref9, 
 author  =  {SIEGEL SJ and LINE WF and YANG NS-T and KWONG A and FRANK C} , 
 title  =  {Solid-Phase Triiodothyronine Radioimmunoassay} , 
 booktitle  =  {The Journal of Clinical Endocrinology & Metabolism. 1973;37(4):526–532. doi:10.1210/jcem-37-4-526} 
 }"
9	"@article{ref9, 
 author  =  {SIEGEL SJ and LINE WF and YANG NS-T and KWONG A and FRANK C} , 
 title  =  {Solid-Phase Triiodothyronine Radioimmunoassay} , 
 booktitle  =  {The Journal of Clinical Endocrinology & Metabolism [Internet] October;37(4):526–532} , 
 year  =  {1973} , 
 url  =  {http://dx.doi.org/10.1210/jcem-37-4-526} 
 }"
10	"@article{ref10, 
 title  =  {“Allocation of Resourcess and Problems of Imbalance�} , 
 note  =  {December 31, 1958). doi:10.18356/f0edc904-en} 
 }"
11	"@article{ref11, 
 author  =  {Zicha J and Křeček J and Dlouh� H and AGE-DEPENDENT} , 
 title  =  {SALT HYPERTENSION IN BRATTLEBORO RATS: A HEMODYNAMIC ANALYSIS} , 
 booktitle  =  {Annals of the October;394(1 The Brattlebo):330–342} , 
 note  =  {New York} , 
 publisher  =  {Academy of Sciences [Internet]} , 
 year  =  {1982} , 
 url  =  {http://dx.doi.org/10.1111/j.1749-6632.1982.tb37444.x} 
 }"
11	"@article{ref11, 
 author  =  {Zicha J., J and Křeček H and Dlouh� “AGE-DEPENDENT and SALT} , 
 title  =  {HYPERTENSION IN BRATTLEBORO RATS: A HEMODYNAMIC ANALYSIS.” Annals of the New York} , 
 booktitle  =  {Academy of Sciences} , 
 volume  =  {394} , 
 issue  =  {1} , 
 note  =  {The Brattlebo (October} , 
 year  =  {1982} , 
 pages  =  {330 -- 342} , 
 url  =  {http://dx.doi.org/10.1111/j.1749-6632.1982.tb37444.x} 
 }"
11	"@article{ref11, 
 author  =  {Zicha J., J and Křeček H and Dlouh�} , 
 year  =  {1982} , 
 title  =  {“AGE-DEPENDENT SALT HYPERTENSION IN BRATTLEBORO RATS: A HEMODYNAMIC ANALYSIS.” Annals of the New York} , 
 booktitle  =  {Academy of Sciences 394(1 The Brattlebo):330–42} , 
 url  =  {(http://dx.doi.org/10.1111/j.1749-6632.1982.tb37444.x)} 
 }"
11	"@article{ref11, 
 author  =  {Zicha J., J and Křeček H and Dlouh� “AGE-DEPENDENT and SALT} , 
 title  =  {HYPERTENSION IN BRATTLEBORO RATS: A HEMODYNAMIC ANALYSIS.” Annals of the New York} , 
 booktitle  =  {Academy of Sciences 394.1 The Brattlebo} , 
 year  =  {1982} , 
 pages  =  {330 -- 342} , 
 note  =  {Crossref. Web} 
 }"
12	"@article{ref12, 
 author  =  {Lentin Ronit} , 
 year  =  {2003} , 
 title  =  {“Pregnant Silence: (en)gendering Ireland’s Asylum Space.” Patterns of Prejudice 37(3):301–22} 
 }"
13	"@article{ref13, 
 author  =  {Anon Managing} , 
 title  =  {and Supporting Multiple Projects. Producing Games [Internet} , 
 note  =  {2010:149–152} , 
 url  =  {http://dx.doi.org/10.1016/b978-0-240-81070-6.00021-1} 
 }"
13	"@article{ref13, 
 author  =  {Anon} , 
 year  =  {2010} , 
 title  =  {“Managing and Supporting Multiple Projects.” Producing Games 149–52} 
 }"
14	"@article{ref14, 
 author  =  {Baker T. A and Connaughton D.P} , 
 year  =  {2015 2003} , 
 title  =  {Editor’s NoteBaker Cureton v. NCAA: A blow-by-blow account of the landmark Title VI challenges and their recent implications} , 
 given-names  =  {T.A} , 
 booktitle  =  {Journal of Legal Aspects of Sport Journal of Legal Aspects of Sport} , 
 volume  =  {13 25(2} , 
 pages  =  {145 -- 179} , 
 identifier  =  {73–74. doi:10.1123/jlas.2015-0010} 
 }"
15	"@article{ref15, 
 author  =  {“Appendix B} , 
 title  =  {Chapter 7).” Microcellular Injection Molding} , 
 volume  =  {21} , 
 year  =  {2010} , 
 pages  =  {587 -- 588} , 
 url  =  {http://dx.doi.org/10.1002/9780470642818.app2} 
 }"
15	"@article{ref15, 
 author  =  {Anon. Appendix B} , 
 title  =  {Chapter 7). Microcellular Injection Molding} , 
 year  =  {2010} , 
 pages  =  {21 -- 587</fpage> - <lpage>588} , 
 url  =  {http://dx.doi.org/10.1002/9780470642818.app2} 
 }"
15	"@article{ref15, 
 author  =  {“Appendix B} , 
 title  =  {Chapter 7).” Microcellular Injection Molding} , 
 volume  =  {21} , 
 year  =  {2010} , 
 pages  =  {587 -- 588} , 
 url  =  {doi:10.1002/9780470642818.app2} 
 }"
16	"@article{ref16, 
 author  =  {IACONIS Jason, INGLIS, Stephen, KALLIN, Ann B and MELKO Roger G.} , 
 year  =  {2013 2013 DOI 10.1103/physrevb.87.195134} , 
 title  =  {Detecting classical phase transitions with Renyi mutual information} , 
 booktitle  =  {Physical Review B [online]. 28 May} , 
 url  =  {http://dx.doi.org/10.1103/physrevb.87.195134} 
 }"
17	"@article{ref17, 
 author  =  {Gordon Taylor H} , 
 title  =  {Family Violence and the Community Pharmacist} , 
 booktitle  =  {American Pharmacy} , 
 year  =  {1994} , 
 volume  =  {34} , 
 pages  =  {41 -- 44} 
 }"
17	"@article{ref17, 
 author  =  {Gordon Taylor H} , 
 year  =  {1994} , 
 title  =  {Family Violence and the Community Pharmacist} , 
 booktitle  =  {American Pharmacy} , 
 volume  =  {34(4} , 
 pages  =  {41 -- 44} , 
 identifier  =  {doi:10.1016/s0160-3450(15)30458-x} 
 }"
18	"@article{ref18, 
 author  =  {BENNDORF C and THIEME F} , 
 year  =  {1974} , 
 title  =  {Zur Bedeckungsabhängigkeit der Desorptionsaktivierungsenergie des Wasserstoffs vonNi-Aufdampfschichten} , 
 booktitle  =  {Zeitschrift für Physikalische Chemie} , 
 note  =  {September} , 
 volume  =  {1974. Vol. 92} , 
 url  =  {no. 1-3, p. 163–166. DOI 10.1524/zpch.1974.92.1-3.163 http://dx.doi.org/10.1524/zpch.1974.92.1-3.163} 
 }"
18	"@article{ref18, 
 author  =  {Benndorf C and Thieme} , 
 given-names  =  {F} , 
 title  =  {“Zur Bedeckungsabhängigkeit Der Desorptionsaktivierungsenergie Des Wasserstoffs vonNi-Aufdampfschichten.�} , 
 booktitle  =  {Zeitschrift Für Physikalische Chemie} , 
 volume  =  {92} , 
 issue  =  {1–3} , 
 year  =  {September 1974)} , 
 pages  =  {163 -- 166} , 
 identifier  =  {doi:10.1524/zpch.1974.92.1-3.163} 
 }"
18	"@article{ref18, 
 author  =  {Benndorf F and Thieme} , 
 title  =  {“Zur Bedeckungsabhängigkeit der Desorptionsaktivierungsenergie des Wasserstoffs vonNi-Aufdampfschichten,�} , 
 booktitle  =  {Zeitschrift für Physikalische Chemie} , 
 volume  =  {92} , 
 issue  =  {1–3} , 
 pages  =  {163 -- 166} , 
 year  =  {1974} 
 }"
19	"@article{ref19, 
 author  =  {Lorenzo Oswaldo} , 
 title  =  {“The next technology wave�} , 
 booktitle  =  {2011) The Long Conversation} , 
 volume  =  {102} , 
 pages  =  {h -- 10</fpage> - <lpage>1057</fpage> - <lpage>9780230337190</fpage> - <lpage>6} 
 }"
19	"@article{ref19, 
 author  =  {Lorenzoo O and Kawalek P and González G and Ramdani B} , 
 title  =  {The next technology wave. The Long Conversation} , 
 identifier  =  {2011:102–113. doi:10.1057/9780230337190_6} 
 }"
19	"@article{ref19, 
 author  =  {Lorenzo O} , 
 booktitle  =  {The Next Technology Wave. The Long Conversation} , 
 year  =  {2011} , 
 pages  =  {102 -- 113} 
 }"
19	"@article{ref19, 
 author  =  {Lorenzo Oswaldo, Peter and Kawalek} , 
 title  =  {Gastón González, and Boumediene Ramdani. 2011. “The Next Technology Wave.” The Long Conversation 102–13} 
 }"
20	"@article{ref20, 
 author  =  {Srinivasan, Doris ‘The} , 
 title  =  {Myth of the Panis in the Rig Veda�} , 
 booktitle  =  {Journal of the American Oriental Society} , 
 volume  =  {93 44} , 
 year  =  {1973} , 
 pages  =  {d -- 10</fpage> - <lpage>2307</fpage> - <lpage>600516} 
 }"
20	"@article{ref20, 
 author  =  {Srinivasan Doris} , 
 year  =  {1973} , 
 title  =  {“The Myth of the Panis in the Rig Veda.�} , 
 booktitle  =  {Journal of the American Oriental Society} , 
 volume  =  {93(1):44} , 
 url  =  {Retrieved (http://dx.doi.org/10.2307/600516)} 
 }"
20	"@article{ref20, 
 author  =  {Srinivasan Doris. “The} , 
 title  =  {Myth of the Panis in the Rig Veda.�} , 
 booktitle  =  {Journal of the American Oriental Society} , 
 volume  =  {93 44} , 
 issue  =  {1} , 
 year  =  {January 1973)} , 
 pages  =  {d -- 10</fpage> - <lpage>2307</fpage> - <lpage>600516} 
 }"
21	"@article{ref21, 
 author  =  {Abdul Salam, Vahitha B} , 
 title  =  {“Chloride Intracellular Channel Protein-4 In The Vascular Dysfunction Of Pulmonary Arterial Hypertension� A29 PATHOGENESIS OF PULMONARY HYPERTENSION} , 
 year  =  {2012} , 
 url  =  {<http://dx.doi.org/10.1164/ajrccm-conference.2012.185.1_meetingabstracts.a1238>} 
 }"
22	"@article{ref22, 
 editor  =  {“Owen, Trevor Bryan Maudsley Special Health Authority Committee of Management, Institute of Psychiatry} , 
 year  =  {born 1988–94 2007} , 
 title  =  {3 April 1928), Chairman: Bethlem Royal} , 
 pages  =  {1990 -- 97</fpage> - <lpage>} , 
 booktitle  =  {Who’s Who (December 1} , 
 url  =  {http://dx.doi.org/10.1093/ww/9780199540884.013.u29111} 
 }"
22	"@article{ref22, 
 editor  =  {‘Owen, Trevor Bryan Maudsley Special Health Authority Committee of Management, Institute of Psychiatry} , 
 year  =  {born 1988–94 2007} , 
 title  =  {3 April 1928), Chairman: Bethlem Royal} , 
 pages  =  {1990 -- 97</fpage> - <lpage>} , 
 booktitle  =  {doi:10.1093/ww/9780199540884.013.u29111} 
 }"
23	"@article{ref23, 
 author  =  {KHALIL Amira S. and HUSSEIN Nawfal R and SHAMDEEN Maida Y.} , 
 year  =  {2017 DOI 10.1016/j.apjtb.2017.09.023} , 
 title  =  {Impact of maternal HBsAg carrier status on pregnancy outcomes in Duhok city} , 
 booktitle  =  {Iraq. Asian Pacific Journal of Tropical Biomedicine November 2017. Vol. 7} , 
 volume  =  {no. 11} , 
 pages  =  {p -- 1010</fpage> - <lpage>1013} , 
 url  =  {http://dx.doi.org/10.1016/j.apjtb.2017.09.023} 
 }"
23	"@article{ref23, 
 author  =  {Khalil, Amira S and Nawfal R and Hussein Maida Y} , 
 title  =  {Shamdeen. “Impact of maternal HBsAg carrier status on pregnancy outcomes in Duhok city, Iraq�} , 
 year  =  {2017} , 
 booktitle  =  {7:11 Asian Pacific Journal of Tropical Biomedicine} , 
 volume  =  {1010} , 
 url  =  {<http://dx.doi.org/10.1016/j.apjtb.2017.09.023>} 
 }"
23	"@article{ref23, 
 author  =  {Khalil Amira S. and Nawfal R and Hussein Maida Y and Shamdeen} , 
 year  =  {2017} , 
 title  =  {“Impact of Maternal HBsAg Carrier Status on Pregnancy Outcomes in Duhok City} , 
 booktitle  =  {Iraq.” Asian Pacific Journal of Tropical Biomedicine} , 
 pages  =  {7 -- 11</fpage> - <lpage>1010</fpage> - <lpage>13} 
 }"
23	"@article{ref23, 
 author  =  {Khalil Amira S. and Nawfal R and Hussein Maida Y} , 
 title  =  {Shamdeen, ‘Impact of Maternal HBsAg Carrier Status on Pregnancy Outcomes in Duhok City} , 
 booktitle  =  {Iraq’, Asian Pacific Journal of Tropical Biomedicine} , 
 volume  =  {7} , 
 issue  =  {2017} , 
 pages  =  {1010 -- 1013} , 
 year  =  {doi:10.1016/j.apjtb.2017.09.023} 
 }"
24	"@article{ref24, 
 author  =  {CANTOR D} , 
 year  =  {1989} , 
 title  =  {Reviews. Social History of Medicine} , 
 volume  =  {2(2} , 
 pages  =  {235 -- 236} , 
 identifier  =  {doi:10.1093/shm/2.2.235} 
 }"
24	"@article{ref24, 
 author  =  {CANTOR D} , 
 year  =  {1989} , 
 booktitle  =  {Social History of Medicine} , 
 volume  =  {2(2} , 
 pages  =  {235 -- 236} 
 }"
24	"@article{ref24, 
 author  =  {CANTOR DAVID} , 
 year  =  {“Reviews” (1989)} , 
 title  =  {2:2 Social} , 
 booktitle  =  {History of Medicine} , 
 volume  =  {235} , 
 pages  =  {h -- 10</fpage> - <lpage>1093</fpage> - <lpage>2</fpage> - <lpage>2</fpage> - <lpage>235} 
 }"
24	"@article{ref24, 
 author  =  {D} , 
 year  =  {1989 1989} , 
 title  =  {Reviews. Social History of Medicine} , 
 volume  =  {2, 2} , 
 pages  =  {235 -- 236} 
 }"
25	"@article{ref25, 
 author  =  {ZHAO Hongyu} , 
 year  =  {1999 1999} , 
 title  =  {The Interpretation of the Parameters in the Transmission/Disequilibrium Test. The} , 
 booktitle  =  {American Journal of Human Genetics} , 
 note  =  {January} , 
 volume  =  {Vol. 64, no. 1} , 
 url  =  {http://dx.doi.org/10.1086/302208} 
 }"
25	"@article{ref25, 
 author  =  {H} , 
 year  =  {1999 Jan. 1999)} , 
 title  =  {The Interpretation of the Parameters in the Transmission/Disequilibrium Test. The} , 
 booktitle  =  {American Journal of Human Genetics} , 
 volume  =  {64} , 
 issue  =  {1} , 
 pages  =  {326 -- 328} 
 }"
26	"@article{ref26, 
 author  =  {OKADA Yuuki, Yusuke and SUENAGA Daisuke TAKATA, Kazuya and SHIRAHATA Takeo and TAKAHASHI} , 
 title  =  {‘Examining Effectiveness of Three Circle Ball as a Task Game for Goal Type –ball Game�} , 
 booktitle  =  {Japanese Journal of Sport Education Studies} , 
 volume  =  {32} , 
 year  =  {2013} , 
 pages  =  {31 -- 46} 
 }"
26	"@article{ref26, 
 author  =  {OKADA Yuuki, Yusuke and SUENAGA Daisuke TAKATA, Kazuya and SHIRAHATA Takeo and TAKAHASHI} , 
 year  =  {2013} , 
 title  =  {“Examining Effectiveness of Three Circle Ball as a Task Game for Goal Type –ball Game.” Japanese} , 
 booktitle  =  {Journal of Sport Education Studies} , 
 volume  =  {32(2):31–46} 
 }"
26	"@article{ref26, 
 author  =  {OKADA Y and SUENAGA Y and TAKATA D and SHIRAHATA K and TAKAHASHI T} , 
 title  =  {Examining effectiveness of three circle ball as a task game for goal type –ball game} , 
 booktitle  =  {Japanese Journal of Sport Education Studies} , 
 year  =  {2013;32(2):31–46} , 
 url  =  {http://dx.doi.org/10.7219/jjses.32.2_31} 
 }"
26	"@article{ref26, 
 author  =  {OKADA Yuuki, Yusuke and SUENAGA Daisuke TAKATA, Kazuya and SHIRAHATA Takeo and TAKAHASHI} , 
 title  =  {“Examining Effectiveness of Three Circle Ball as a Task Game for Goal Type –ball Game.” Japanese} , 
 booktitle  =  {Journal of Sport Education Studies} , 
 volume  =  {32} , 
 issue  =  {2} , 
 year  =  {2013} , 
 pages  =  {31 -- 46} , 
 note  =  {doi:10.7219/jjses.32.2_31} 
 }"
27	"@article{ref27, 
 author  =  {J} , 
 year  =  {2015 2015} , 
 title  =  {Introduction. Acta Universitatis Lodziensis} , 
 booktitle  =  {Folia oeconomica} , 
 volume  =  {1} , 
 pages  =  {310 --} 
 }"
27	"@article{ref27, 
 author  =  {Gajdka J and Introduction} , 
 booktitle  =  {Acta Universitatis Lodziensis. Folia oeconomica} , 
 year  =  {2015} , 
 volume  =  {1} 
 }"
28	"@article{ref28, 
 author  =  {EWERTSEN Caroline, KONDZIELLA, Daniel and DANIELSEN Else R and THOMSEN Carsten} , 
 year  =  {2015 June 2015} , 
 title  =  {Good outcome after posterior reversible encephalopathy syndrome (PRES) despite elevated cerebral lactate: a case report} , 
 booktitle  =  {Acta Radiologica Open} , 
 pages  =  {D -- 10</fpage> - <lpage>1177</fpage> - <lpage>2058460115578324} , 
 url  =  {http://dx.doi.org/10.1177/2058460115578324} 
 }"
29	"@article{ref29, 
 author  =  {Herff O and Ein} , 
 title  =  {Beitrag zur vaginalen Total-Exstirpation der Gebärmutter. Archiv für Gynäkologie [Internet} , 
 year  =  {1885} , 
 booktitle  =  {June;26(2):315–326} , 
 url  =  {http://dx.doi.org/10.1007/bf02227356} 
 }"
30	"@article{ref30, 
 author  =  {Sukhoruchkin S. I. and Soroko Z} , 
 title  =  {N., 2009, “Neutron Resonance Parameters for Ag-107 (Silver),” Landolt-Börnstein -} , 
 booktitle  =  {Group I Elementary Particles, Nuclei and Atoms} , 
 pages  =  {2305 -- 2334} 
 }"
30	"@article{ref30, 
 author  =  {SUKHORUCHKIN S.I and SOROKO Z.N} , 
 year  =  {2009 2009} , 
 title  =  {Neutron Resonance Parameters for Ag-107 (Silver). Landolt-Börnstein - Group I} , 
 booktitle  =  {Elementary Particles, Nuclei and Atoms P. 2305–2334. DOI 10.1007/978-3-540-87866-7_147} , 
 url  =  {http://dx.doi.org/10.1007/978-3-540-87866-7_147} 
 }"
30	"@article{ref30, 
 author  =  {I. Sukhoruchkin Z and N} , 
 title  =  {Soroko, “Neutron Resonance Parameters for Ag-107 (Silver),” Landolt-Börnstein -} , 
 booktitle  =  {Group I Elementary Particles, Nuclei and Atoms} , 
 pages  =  {2305 -- 2334} , 
 year  =  {2009} 
 }"
30	"@article{ref30, 
 author  =  {Sukhoruchkin S.I and Soroko} , 
 given-names  =  {Z.N} , 
 title  =  {“Neutron Resonance Parameters for Ag-107 (Silver).” Landolt-Börnstein -} , 
 booktitle  =  {Group I Elementary Particles, Nuclei and Atoms} , 
 year  =  {2009} , 
 pages  =  {2305 -- 2334} , 
 identifier  =  {doi:10.1007/978-3-540-87866-7_147} 
 }"
31	"@article{ref31, 
 author  =  {Zapart MB and Zapart W} , 
 title  =  {Investigations of incommensurate phase in KSc(WO4)2. Phase Transitions} , 
 identifier  =  {1993;43(1-4):173–178. doi:10.1080/01411599308207815} 
 }"
32	"@article{ref32, 
 author  =  {Arroyave LJO and Restrepo-Méndez MC and Horta BL and Menezes AMB and Gigante DP and Gonçalves H} , 
 title  =  {Tendências e desigualdades nos comportamentos de risco em adolescentes: comparação das coortes de nascimentos de Pelotas} , 
 note  =  {Rio Grande do Sul, Brasil. Cadernos} , 
 publisher  =  {de Saúde Pública} , 
 identifier  =  {2016;32(9). doi:10.1590/0102-311x00120215} 
 }"
32	"@article{ref32, 
 author  =  {J O and Arroyave M. C and Restrepo-Méndez B. L and Horta A. M. B and Menezes D. P and Gigante H and Gonçalves} , 
 title  =  {“Tendências e desigualdadess nos comportamentos de risco em adolescentes: comparação das coortes de nascimentos de Pelotas} , 
 note  =  {Rio Grande do Sul, Brasil,”} , 
 booktitle  =  {Cadernos de Saúde Pública} , 
 volume  =  {32} , 
 issue  =  {9} , 
 year  =  {2016} 
 }"
32	"@article{ref32, 
 author  =  {Arroyave LJO and Restrepo-Méndez MC and Horta BL and Menezes AMB and Gigante DP and Gonçalves H} , 
 title  =  {Tendências e desigualdades nos comportamentos de risco em adolescentes: comparação das coortes de nascimentos de Pelotas} , 
 note  =  {Rio Grande do Sul, Brasil} , 
 booktitle  =  {Cadernos de Saúde Pública} , 
 year  =  {2016;32(9} , 
 url  =  {http://dx.doi.org/10.1590/0102-311x00120215} 
 }"
33	"@article{ref33, 
 author  =  {Esteves Sandro C. and Glenn L and Schattman} , 
 title  =  {and Ashok Agarwal. “Definitions and Relevance of Unexplained Infertility in Reproductive Medicine.” Unexplained} , 
 booktitle  =  {Infertility} , 
 year  =  {2015} , 
 pages  =  {3 -- 5} , 
 note  =  {Crossref. Web} 
 }"
33	"@article{ref33, 
 author  =  {Esteves, Sandro C and Glenn L and Schattman} , 
 title  =  {Ashok Agarwal. “Definitions and Relevance of Unexplained Infertility in Reproductive Medicine�} , 
 year  =  {2015} , 
 booktitle  =  {Unexplained Infertility} , 
 volume  =  {3} , 
 pages  =  {h -- 10</fpage> - <lpage>1007</fpage> - <lpage>978</fpage> - <lpage>1</fpage> - <lpage>4939</fpage> - <lpage>2140</fpage> - <lpage>9</fpage> - <lpage>1} 
 }"
